2026-03-04 {'exact_constant_factor': 186, 'empty_pair': 3, 'compatible_observed_precision': 9}
2026-03-05 {'exact_constant_factor': 99, 'compatible_observed_precision': 7, 'empty_pair': 5}
2026-03-06 {'exact_constant_factor': 113, 'compatible_observed_precision': 6, 'empty_pair': 4}
2026-03-09 {'exact_constant_factor': 140, 'compatible_observed_precision': 10, 'empty_pair': 1}
2026-03-10 {'exact_constant_factor': 175, 'empty_pair': 6, 'compatible_observed_precision': 7}
2026-03-12 {'exact_constant_factor': 109, 'empty_pair': 2, 'compatible_observed_precision': 8}
2026-03-13 {'exact_constant_factor': 113, 'compatible_observed_precision': 8, 'empty_pair': 5}
2026-03-18 {'exact_constant_factor': 70, 'compatible_observed_precision': 2, 'empty_pair': 3}
2026-03-19 {'exact_constant_factor': 80, 'empty_pair': 3, 'compatible_observed_precision': 4}
2026-03-25 {'exact_constant_factor': 160, 'compatible_observed_precision': 10, 'empty_pair': 14}
2026-03-30 {'exact_constant_factor': 97, 'empty_pair': 4, 'compatible_observed_precision': 5}
2026-04-02 {'exact_constant_factor': 115, 'empty_pair': 5, 'compatible_observed_precision': 4}
2026-04-06 {'exact_constant_factor': 138, 'empty_pair': 3, 'compatible_observed_precision': 7}
2026-04-10 {'exact_constant_factor': 95, 'compatible_observed_precision': 8, 'empty_pair': 5}
2026-04-13 {'exact_constant_factor': 175, 'empty_pair': 7, 'compatible_observed_precision': 6}
2026-04-14 {'exact_constant_factor': 153, 'empty_pair': 4, 'compatible_observed_precision': 7}
2026-04-15 {'exact_constant_factor': 145, 'compatible_observed_precision': 3, 'empty_pair': 5}
2026-04-16 {'exact_constant_factor': 119, 'compatible_observed_precision': 2, 'empty_pair': 5}
2026-04-17 {'exact_constant_factor': 183, 'empty_pair': 7, 'compatible_observed_precision': 2}
2026-04-20 {'exact_constant_factor': 141, 'compatible_observed_precision': 8, 'empty_pair': 5}
2026-04-21 {'exact_constant_factor': 101, 'compatible_observed_precision': 4, 'empty_pair': 2}
2026-04-23 {'exact_constant_factor': 78, 'compatible_observed_precision': 2, 'empty_pair': 2}
2026-04-24 {'exact_constant_factor': 102, 'empty_pair': 3, 'compatible_observed_precision': 4}
2026-04-27 {'exact_constant_factor': 124, 'empty_pair': 2, 'compatible_observed_precision': 8}
2026-04-28 {'exact_constant_factor': 74, 'compatible_observed_precision': 7, 'empty_pair': 2}
2026-04-29 {'exact_constant_factor': 65, 'compatible_observed_precision': 5, 'empty_pair': 2}
2026-04-30 {'exact_constant_factor': 187, 'empty_pair': 4, 'compatible_observed_precision': 7}
2026-05-04 {'exact_constant_factor': 137, 'empty_pair': 7, 'compatible_observed_precision': 6}
2026-05-08 {'exact_constant_factor': 145, 'compatible_observed_precision': 3, 'empty_pair': 3}
2026-05-19 {'exact_constant_factor': 98, 'empty_pair': 3, 'compatible_observed_precision': 6}
a74bcc55f7e64ad54990a800e6c85f9ba0612d6c62a67c823a3c855aebb9acf8 {'exact_constant_factor': 3717, 'empty_pair': 126, 'compatible_observed_precision': 175}
