symbol,status,exchange,previous_close,target_high,max_session_gain_pct,max_session_rvol_upper_bound,max_session_rvol,rvol_history_sessions,average_daily_volume_50,first_market_qualified_at,minute_bars
VRAX,active,NASDAQ,3.18,13.19,304.08805031446536,108.21898635316045,94.53811069530832,50,978123.8,2026-07-09T11:31:00+00:00,146
JLHL,active,NASDAQ,3.06,14.8999,62.745098039215705,87.79216718241109,78.34805815707396,50,261360.44,2026-07-09T11:00:00+00:00,278
RPGL,active,NASDAQ,1.78,2.58,39.96067415730336,255.68799470705892,249.1738268884035,50,505888.54,2026-07-09T11:00:00+00:00,362
WRAP,active,NASDAQ,1.59,2.5999,37.10062893081761,983.746348093718,299.84438011890404,50,268591.42,2026-07-09T13:35:00+00:00,86
TDTH,active,NASDAQ,1.83,2.78,25.6830601092896,7.488186894969577,6.228766187204325,50,1413564.22,2026-07-09T12:13:00+00:00,165
NDRA,active,NASDAQ,4.76,5.56,24.15966386554622,561.689145793192,492.2928709055877,50,29180.1,2026-07-09T11:45:00+00:00,41
SUNE,active,NASDAQ,2.11,2.83,23.696682464454977,11.762468016274566,8.234223144331802,50,7581038.44,2026-07-09T11:00:00+00:00,358
AP,active,NYSE,7.17,9.02,22.873082287308243,186.09316996759867,161.74736702656156,50,204714.94,2026-07-09T11:00:00+00:00,125
SMPL,active,NASDAQ,12.84,15.088,22.274143302180672,825.9092117948206,367.8540076980215,50,2283918.72,2026-07-09T11:04:00+00:00,135
MAAS,active,NASDAQ,14.03,16.8,19.672131147540984,51.70407949192302,9.13057050837908,50,100672.44,2026-07-09T13:34:00+00:00,28
PLBL,active,NASDAQ,7.47,9.0,18.07228915662651,143.3766298771179,23.475037409876208,50,140285.0,2026-07-09T13:30:00+00:00,40
SRXH,active,AMEX,1.97,3.25,17.86802030456853,118.21947409545622,97.6872662036936,50,2597482.56,2026-07-09T11:02:00+00:00,352
PTLE,active,NASDAQ,7.8,10.28,16.666666666666675,9.74097842872204,8.432832692446942,50,31495.34,2026-07-09T13:53:00+00:00,18
HOUR,active,NASDAQ,2.0355,2.27,14.468189633996564,29.688860985735456,27.78157086905896,50,112625.1,2026-07-09T11:21:00+00:00,111
